id,group,price,company,date,tag,ser_id,discount,Name,Positive,Negative,Rating,Current,24h Peak,All-Time Peak
513710,69,24.99,Devolver Digital,2018,4667,0,0.0,SCUM,"18,402","9,448",0.6534,"2,584","4,804","68,322"
514900,21,29.99,Aspyr,2017,4115,0,0.0,Observer,"2,740",638,0.7842,20,58,953
517630,70,59.99,Square Enix,2018,1774,0,1.0,Just Cause 4,"2,858","4,305",0.406,469,872,"9,571"
518790,8,19.99,Avalanche Studios,2017,1774,0,1.0,theHunter™: Call of the Wild,"18,679","4,734",0.7834,"1,884","3,789","5,524"
520940,8,39.99,THQ Nordic,2018,198913,0,0.0,MX vs ATV All Out,260,152,0.6097,14,36,308
521580,8,2.99,DNVA,2016,1770,0,0.0,Where are my Internets?,49,18,0.6664,,,
528110,28,3.99,Mana Games,2009,5914,0,0.0,Tennis Elbow Manager,21,7,0.6593000000000001,2,8,27
530620,46,0.0,"CAPCOM Co., Ltd.",2016,3978,7,0.0,Resident Evil 7 / Biohazard 7 Teaser: Beginning Hour,"3,417",485,0.8445,6,12,"3,910"
535700,41,9.99,rokapublish,2016,1770,0,0.0,3D Chess,35,21,0.588,2,3,56
537630,8,9.99,Barkers Crest Studio LLC,2018,7038,0,0.0,Tee Time Golf,50,4,0.7984,1,6,16
537630,8,9.99,Barkers Crest Studio LLC,2018,7038,0,0.0,Tee Time Golf,50,4,0.7984,1,6,16
550650,72,0.0,NS STUDIO,2019,1774,0,0.0,Black Squad,"37,099","11,936",0.7465999999999999,"2,574","4,865","15,939"
550650,72,0.0,NS STUDIO,2019,1678,0,0.0,Black Squad,"37,099","11,936",0.7465999999999999,"2,574","4,865","15,939"
550840,28,4.99,LOVIGAME,2016,4667,0,1.0,Fresh Body,905,202,0.779,14,16,175
552500,71,29.99,Fatshark,2018,4604,0,0.0,Warhammer: Vermintide 2,"25,653","7,572",0.7603,"1,522","3,809","73,316"
552990,8,0.0,Wargaming Group Limited,2017,1678,0,0.0,World of Warships,"13,244","4,445",0.7356,"4,323","7,071","9,440"
555440,56,14.99,Behaviour Digital Inc.,2018,4667,0,0.0,Deathgarden: BLOODHARVEST,"7,762","2,828",0.7186,253,587,"9,305"
571740,8,8.99,Perfuse Entertainment,2017,7038,0,1.0,Golf It!,"4,796",832,0.826,250,834,"2,438"
582160,70,59.99,Ubisoft,2017,4667,2,1.0,Assassin's Creed Origins,"33,493","6,188",0.8299,"1,183","2,102","41,551"
587650,8,0.0,marnamai,2017,4667,6,0.0,Half-Life 2: DownFall,"1,578",77,0.9048,2,10,56
588750,54,6.99,WildLabs,2017,123332,0,0.0,King Of Dirt,12,11,0.5134000000000001,,,
590950,8,1.99,SnoutUp,2018,4726,0,0.0,Toaster Jam,34,2,0.7946,,,
594650,6,29.99,Crytek,2018,3978,0,0.0,Hunt: Showdown,"26,218","8,171",0.7511,"1,409","3,541","14,136"
